iter	Passed	Remaining
1222	23440	34058
1223	23457	34036
1224	23474	34014
1225	23493	33994
1226	23509	33971
1227	23527	33950
1228	23547	33932
1229	23565	33911
1230	23585	33892
1231	23603	33873
1232	23622	33852
1233	23642	33834
1234	23659	33813
1235	23678	33793
1236	23695	33771
1237	23712	33749
1238	23730	33728
1239	23750	33710
1240	23768	33689
1241	23788	33672
1242	23808	33653
1243	23826	33633
1244	23845	33613
1245	23863	33593
1246	23881	33571
1247	23898	33549
1248	23916	33528
1249	23933	33506
1250	23952	33487
1251	23970	33467
1252	23988	33446
1253	24008	33427
1254	24026	33407
1255	24044	33386
1256	24062	33366
1257	24080	33344
1258	24098	33324
1259	24116	33303
1260	24134	33282
1261	24152	33261
1262	24171	33242
1263	24191	33224
1264	24208	33203
1265	24226	33182
1266	24247	33165
1267	24266	33145
1268	24284	33125
1269	24302	33104
1270	24319	33083
1271	24337	33062
1272	24355	33041
1273	24373	33021
1274	24391	33000
1275	24409	32980
1276	24428	32960
1277	24446	32939
1278	24464	32918
1279	24482	32898
1280	24500	32877
1281	24519	32857
1282	24536	32836
1283	24555	32817
1284	24573	32796
1285	24595	32780
1286	24612	32759
1287	24629	32737
1288	24646	32715
1289	24664	32694
1290	24682	32674
1291	24700	32654
1292	24719	32634
1293	24740	32617
1294	24758	32596
1295	24776	32576
1296	24795	32557
1297	24812	32535
1298	24830	32515
1299	24848	32493
1300	24867	32474
1301	24885	32454
1302	24902	32431
1303	24920	32411
1304	24938	32390
1305	24957	32371
1306	24976	32353
1307	24996	32335
1308	25016	32316
1309	25033	32295
1310	25055	32279
1311	25074	32260
1312	25094	32242
1313	25115	32225
1314	25148	32224
1315	25166	32204
1316	25183	32182
1317	25201	32161
1318	25219	32140
1319	25237	32120
1320	25253	32097
1321	25270	32075
1322	25288	32054
1323	25306	32034
1324	25324	32013
1325	25341	31992
1326	25359	31971
1327	25377	31951
1328	25396	31932
1329	25416	31913
1330	25435	31894
1331	25453	31873
1332	25471	31853
1333	25489	31832
1334	25509	31815
1335	25529	31796
1336	25547	31776
1337	25564	31755
1338	25584	31736
1339	25601	31715
1340	25620	31695
1341	25639	31677
1342	25658	31657
1343	25676	31636
1344	25693	31615
1345	25710	31594
1346	25730	31575
1347	25748	31554
1348	25766	31535
1349	25785	31515
1350	25804	31496
1351	25824	31478
1352	25840	31456
1353	25860	31437
1354	25879	31418
1355	25896	31397
1356	25915	31377
1357	25933	31357
1358	25951	31336
1359	25968	31315
1360	25988	31297
1361	26007	31277
1362	26025	31257
1363	26043	31237
1364	26064	31219
1365	26083	31201
1366	26102	31182
1367	26121	31162
1368	26138	31141
1369	26158	31122
1370	26176	31102
1371	26195	31083
1372	26216	31066
1373	26234	31046
1374	26252	31025
1375	26271	31006
1376	26291	30988
1377	26307	30966
1378	26325	30945
1379	26344	30926
1380	26363	30907
1381	26383	30888
1382	26400	30867
1383	26419	30848
1384	26438	30829
1385	26456	30808
1386	26476	30790
1387	26494	30770
1388	26513	30750
1389	26530	30729
1390	26548	30709
1391	26567	30690
1392	26587	30671
1393	26605	30651
1394	26624	30632
1395	26641	30611
1396	26659	30590
1397	26679	30572
1398	26696	30551
1399	26715	30532
1400	26734	30512
1401	26752	30493
1402	26773	30476
1403	26792	30455
1404	26810	30436
1405	26828	30416
1406	26847	30396
1407	26865	30376
1408	26886	30359
1409	26904	30338
1410	26921	30318
1411	26940	30298
1412	26960	30280
1413	26977	30259
1414	26999	30243
1415	27018	30224
1416	27037	30204
1417	27054	30183
1418	27072	30163
1419	27093	30145
1420	27109	30124
1421	27129	30105
1422	27147	30085
1423	27166	30066
1424	27185	30047
1425	27202	30025
1426	27220	30005
1427	27237	29984
1428	27257	29966
1429	27274	29944
1430	27293	29925
1431	27311	29905
1432	27329	29885
1433	27347	29864
1434	27365	29844
1435	27383	29824
1436	27402	29805
1437	27422	29787
1438	27440	29766
1439	27459	29747
1440	27476	29726
1441	27496	29708
1442	27514	29688
1443	27532	29668
1444	27551	29648
1445	27571	29630
1446	27588	29609
1447	27607	29590
1448	27625	29570
1449	27644	29550
1450	27663	29532
1451	27682	29513
1452	27700	29492
1453	27724	29479
1454	27743	29459
1455	27760	29438
1456	27786	29426
1457	27805	29407
1458	27823	29387
1459	27841	29366
1460	27863	29351
1461	27880	29329
1462	27897	29308
1463	27915	29287
1464	27932	29266
1465	27967	29264
1466	27983	29242
1467	28001	29221
1468	28019	29201
1469	28036	29180
1470	28055	29161
1471	28074	29142
1472	28090	29120
1473	28109	29101
1474	28128	29081
1475	28145	29061
1476	28165	29042
1477	28185	29024
1478	28204	29005
1479	28224	28987
1480	28243	28967
1481	28261	28948
1482	28279	28927
1483	28297	28908
1484	28316	28888
1485	28334	28868
1486	28352	28848
1487	28371	28829
1488	28388	28808
1489	28408	28789
1490	28425	28768
1491	28442	28747
1492	28460	28727
1493	28478	28706
1494	28496	28687
1495	28514	28666
1496	28532	28646
1497	28550	28626
1498	28569	28607
1499	28590	28590
1500	28609	28571
1501	28628	28552
1502	28647	28533
1503	28665	28513
1504	28684	28494
1505	28703	28474
1506	28721	28454
1507	28739	28434
1508	28757	28413
1509	28775	28394
1510	28796	28377
1511	28814	28357
1512	28832	28337
1513	28851	28317
1514	28869	28298
1515	28888	28278
1516	28906	28258
1517	28924	28238
1518	28941	28217
1519	28959	28197
1520	28978	28178
1521	28998	28160
1522	29018	28141
1523	29035	28121
1524	29052	28100
1525	29070	28080
1526	29087	28059
1527	29105	28038
